"Test","Test OK"
"Test %s of %s","Test %s von %s ist OK"
"No valid language string given.","Dies ist kein valider Sprachtext ."
"%s. Not a valid language like de_DE or en_GB. Check string length.","%s. Dies ist keine valide Sprache wie de_DE oder en_GB. Bitte länge prüfen."
"%s. Not a valid language like de_DE or en_GB. Missing _.","%s. Dies ist keine valide Sprache wie de_DE oder en_GB. Das _ fehlt."
"%s. Not a valid language like de_DE or en_GB. Missing language file.","%s. Dies ist keine valide Sprache wie de_DE oder en_GB. Die Sprachdatei fehlt."
"Invalid slip type %s.","Invalid slip type %s."
"%s is not a valid url format.","%s ist kein valides URL-Format."
"%s. A secure url (https) is essential.","%s. Eine sichere URL (https) ist notwendig."
"%s is not a valid float format for the amount like 13.23","%s ist kein valides Format für den Betrag wie 13.23"
"%s. Not a valid format for the currency setting like or EUR, USD","%s. Dies ist kein valides  Format für die Währung wie EUR, USD"
"%s is exceeding the amount limit of 999","%s ist höher als das Limit von 999"
"invalid_signature","Die Signatur ist nicht valide"
"invalid_signature_format","Das Format der Signatur ist nicht valide"
"only_sandbox_allowed","Nur Sandbox-Transaktione erlaubt"
"invalid_host_header","Invalider Host-Header"
"request_body_too_large","Der Request-Body ist zu groß"
"rate_limit_exceeded","Das Limit ist überschritten"
"invalid_query_params","Invalide Parameter"
"invalid_request_url","Invalide Request URL"
"internal_server_error","Interner Server-Fehler"
