"Test","Test OK"
"Test %s of %s","Test %s of %s is OK"
"No valid language string given.","No valid language string given."
"%s. Not a valid language like de_DE or en_GB. Check string length.","%s. Not a valid language like de_DE or en_GB. Check string length."
"%s. Not a valid language like de_DE or en_GB. Missing _.","%s. Not a valid language like de_DE or en_GB. Missing _."
"%s. Not a valid language like de_DE or en_GB. Missing language file.","%s.Not a valid language like de_DE or en_GB. Missing language file."
"Invalid slip type %s.","Invalid slip type %s."
"%s is not a valid url format.","%s is not a valid url format."
"%s. A secure url (https) is essential.","%s. A secure url (https) is essential."
"%s is not a valid float format for the amount like 13.23","%s is not a valid float format for the amount like 13.23"
"%s. Not a valid format for the currency setting like or EUR, USD","%s. Not a valid format for the currency setting like or EUR, USD"
"%s is exceeding the amount limit of 999","%s is exceeding the amount limit of 999"
"invalid_signature","Signatur is invalid"
"invalid_signature_format","Das Format der Signatur ist nicht valide"
"only_sandbox_allowed","Nur Sandbox-Transaktione erlaubt"
"invalid_host_header","Invalider Host-Header"
"request_body_too_large","Der Request-Body ist zu groß"
"rate_limit_exceeded","Das Limit ist überschritten"
"invalid_query_params","Invalide Parameter"
"invalid_request_url","Invalide Request URL"
"internal_server_error","Interner Server-Fehler"
